NAMES,SMILES,VALUE
C1411_A0048,BrC=C(Br)Cn1cc[n+](C[C@@H](Br)CBr)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,258
C1362_A0048,BrC[C@@H](Br)C[n+]1ccn(C[C@@H](Br)CBr)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,250
C1330_A0048,BrC[C@H](Br)Cn1cc[n+]([C@H](Br)CBr)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,246
C1349_A0048,FC(F)(Br)[C@@](F)(Br)CC[n+]1ccn(C[C@H](Br)CBr)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,273
C0841_A0056,N#C[N-]C#N.c1ccc(Cn2cc[n+](Cc3ccccc3)c2)cc1,252
C0841_A0007,O=C1[N-]S(=O)(=O)c2ccccc21.c1ccc(Cn2cc[n+](Cc3ccccc3)c2)cc1,243
C0841_A0064,O=C([O-])C(F)(F)F.c1ccc(Cn2cc[n+](Cc3ccccc3)c2)cc1,180
C0841_A0015,N#C[S-].c1ccc(Cn2cc[n+](Cc3ccccc3)c2)cc1,163
C0162_A0033,CCn1cc[n+](C)c1C.[Cl-],290
C0162_A0004,CCn1cc[n+](C)c1C.[Br-],322
C0162_A0048,CCn1cc[n+](C)c1C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,456
C0162_A0067,CCn1cc[n+](C)c1C.O=S(=O)([N-]S(=O)(=O)C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F,420
C0162_A0031,CCn1cc[n+](C)c1C.O=C([O-])c1ccccc1,269
C0052_A0048,CCCn1cc[n+](C)c1C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,457
C0052_A0011,CCCn1cc[n+](C)c1C.F[P-](F)(F)(F)(F)F,399
C1098_A0031,CCCC[n+]1ccn(C)c1C.O=C([O-])c1ccccc1,256
C0140_A0051,Cn1cc([N+](=O)[O-])[n+](C)c1.[O-][Cl+3]([O-])([O-])[O-],259
C0140_A0090,Cn1cc([N+](=O)[O-])[n+](C)c1.O=[N+]([O-])[O-],174
C0517_A0051,Cc1n(C)cc([N+](=O)[O-])[n+]1C.[O-][Cl+3]([O-])([O-])[O-],307
C0517_A0090,Cc1n(C)cc([N+](=O)[O-])[n+]1C.O=[N+]([O-])[O-],166
C0904_A0051,CC[n+]1c([N+](=O)[O-])cn(C)c1C.[O-][Cl+3]([O-])([O-])[O-],237
C0904_A0090,CC[n+]1c([N+](=O)[O-])cn(C)c1C.O=[N+]([O-])[O-],146
C1350_A0048,Cn1c[n+](C[C@H](Br)CBr)c(Br)c1Br.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,307
C1351_A0048,Cn1c[n+](C[C@H](Br)CBr)c(I)c1I.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,287
C1361_A0048,BrC[C@@H](Br)Cn1c[n+](C[C@@H](Br)CBr)c(I)c1I.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,282
C0503_A0069,Cc1c(C)[n+](C)c(C)n1C.[I-],303
C0503_A0048,Cc1c(C)[n+](C)c(C)n1C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,470
C0503_A0011,Cc1c(C)[n+](C)c(C)n1C.F[P-](F)(F)(F)(F)F,487
C0459_A0048,CCCC[n+]1nn(C)c2ccccc21.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,315
C0459_A0056,CCCC[n+]1nn(C)c2ccccc21.N#C[N-]C#N,185
C0459_A0142,CCCC[n+]1nn(C)c2ccccc21.NCCCC[C@H](N)C(=O)[O-],200
C0459_A0030,CCCC[n+]1nn(C)c2ccccc21.Cc1ccc(S(=O)(=O)[O-])cc1,225
C0235_A0004,Cn1n[n+](Cc2ccccc2)c2ccccc21.[Br-],170
C0235_A0048,Cn1n[n+](Cc2ccccc2)c2ccccc21.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,280
C0235_A0056,Cn1n[n+](Cc2ccccc2)c2ccccc21.N#C[N-]C#N,155
C0235_A0142,Cn1n[n+](Cc2ccccc2)c2ccccc21.NCCCC[C@H](N)C(=O)[O-],180
C0235_A0030,Cc1ccc(S(=O)(=O)[O-])cc1.Cn1n[n+](Cc2ccccc2)c2ccccc21,205
C0826_A0051,Cn1cn[n+](CCN=[N+]=[N-])c1.[O-][Cl+3]([O-])([O-])[O-],192
C0826_A0090,Cn1cn[n+](CCN=[N+]=[N-])c1.O=[N+]([O-])[O-],119
C0583_A0051,C[n+]1cn(CCN=[N+]=[N-])cn1.[O-][Cl+3]([O-])([O-])[O-],152
C0583_A0090,C[n+]1cn(CCN=[N+]=[N-])cn1.O=[N+]([O-])[O-],143
C0178_A0051,[N-]=[N+]=NCC[NH+]1C=NC=N1.[O-][Cl+3]([O-])([O-])[O-],150
C0178_A0090,O=[N+]([O-])[O-].[N-]=[N+]=NCC[NH+]1C=NC=N1,170
C0554_A0051,[N-]=[N+]=NCC[n+]1cn(N)cn1.[O-][Cl+3]([O-])([O-])[O-],218
C0554_A0090,O=[N+]([O-])[O-].[N-]=[N+]=NCC[n+]1cn(N)cn1,153
C0554_A0073,[N-]=[N+]=NCC[n+]1cn(N)cn1.[N-]=[N+]=[N-],106
C1396_A0048,C[n+]1cn(CCC(F)(F)F)cn1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,376
C0550_A0048,CCCC[n+]1cn(CCC(F)(F)F)cn1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,395
C1389_A0048,CCCCCCC[n+]1cn(CCC(F)(F)F)cn1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,402
C1381_A0048,CCCCCCCCCC[n+]1cn(CCC(F)(F)F)cn1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,400
C1372_A0048,CCCCn1c[n+](CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)F)cn1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,394
C0172_A0048,CCCCCCCn1c[n+](CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)F)cn1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,396
C0706_A0048,CCCCCCCCCCn1c[n+](CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)F)cn1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,396
C0579_A0048,Cn1c[n+](CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)cn1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,381
C0992_A0048,CCCCn1c[n+](CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)cn1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,368
C0074_A0048,CCCCCCCn1c[n+](CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)cn1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,405
C1386_A0020,CCCCCCC[n+]1cn([C@H](C)F)cn1.F[B-](F)(F)F,336
C1386_A0048,CCCCCCC[n+]1cn([C@H](C)F)cn1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,359
C1379_A0048,CCCCCCCCCC[n+]1cn([C@H](C)F)cn1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,425
C1379_A0084,CCCCCCCCCC[n+]1cn([C@H](C)F)cn1.O=S(=O)([O-])C(F)(F)F,362
C1388_A0048,CCCCCCCn1c[n+](C[C@@H](O)C(F)(F)F)cn1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,315
C1388_A0004,CCCCCCCn1c[n+](C[C@@H](O)C(F)(F)F)cn1.[Br-],221
C1380_A0048,CCCCCCCCCCn1c[n+](C[C@@H](O)C(F)F)cn1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,320
C1374_A0048,CCCC[NH+]1C=C(CCC(F)=C(F)F)N=N1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,359
C1390_A0048,CCCCCCC[NH+]1C=C(CCC(F)=C(F)F)N=N1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,350
C1390_A0004,CCCCCCC[NH+]1C=C(CCC(F)=C(F)F)N=N1.[Br-],271
C1390_A0011,CCCCCCC[NH+]1C=C(CCC(F)=C(F)F)N=N1.F[P-](F)(F)(F)(F)F,350
C1522_A0004,CCCCCCCCCC[NH+]1C=C(CCC(F)=C(F)F)N=N1.[Br-],286
C1375_A0084,CCCCn1c[n+](CCCCS(=O)(=O)O)cn1.O=S(=O)([O-])C(F)(F)F,333
C1391_A0048,CCCCCCCn1c[n+](CCCCS(=O)(=O)O)cn1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,408
C1391_A0084,CCCCCCCn1c[n+](CCCCS(=O)(=O)O)cn1.O=S(=O)([O-])C(F)(F)F,361
C1373_A0084,CCCCn1c[n+](C(=O)C(F)(F)C(F)(F)C(F)(F)C(=O)O)cn1.O=S(=O)([O-])C(F)(F)F,254
C1387_A0084,CCCCCCCn1c[n+](C(=O)C(F)(F)C(F)(F)C(F)(F)C(=O)O)cn1.O=S(=O)([O-])C(F)(F)F,254
C0593_A0051,Cn1c[n+](C)cn1.[O-][Cl+3]([O-])([O-])[O-],97
C0593_A0090,Cn1c[n+](C)cn1.O=[N+]([O-])[O-],160
C0391_A0051,C[n+]1cn(N)cn1.[O-][Cl+3]([O-])([O-])[O-],259
C0391_A0090,C[n+]1cn(N)cn1.O=[N+]([O-])[O-],221
C0391_A0073,C[n+]1cn(N)cn1.[N-]=[N+]=[N-],129
C0125_A0051,C[NH+]1C=NC(N=[N+]=[N-])=N1.[O-][Cl+3]([O-])([O-])[O-],147
C0125_A0090,C[NH+]1C=NC(N=[N+]=[N-])=N1.O=[N+]([O-])[O-],139
C0125_A0019,C[NH+]1C=NC(N=[N+]=[N-])=N1.O=C([O-])C1([N+](=O)[O-])N=NN=N1,141
C0125_A0035,C[NH+]1C=NC(N=[N+]=[N-])=N1.O=C([O-])c1nc([N+](=O)[O-])c([N+](=O)[O-])[nH]1,145
C0890_A0090,CC1=NC(N=[N+]=[N-])=N[NH2+]1.O=[N+]([O-])[O-],136
C0689_A0051,[N-]=[N+]=NC1=N[NH2+]C=N1.[O-][Cl+3]([O-])([O-])[O-],154
C0689_A0090,O=[N+]([O-])[O-].[N-]=[N+]=NC1=N[NH2+]C=N1,174
C0689_A0019,O=C([O-])C1([N+](=O)[O-])N=NN=N1.[N-]=[N+]=NC1=N[NH2+]C=N1,161
C0689_A0035,O=C([O-])c1nc([N+](=O)[O-])c([N+](=O)[O-])[nH]1.[N-]=[N+]=NC1=N[NH2+]C=N1,158
C0771_A0090,O=[N+]([O-])[O-].[N-]=[N+]=NC1=N[NH2+]C(N=[N+]=[N-])=N1,136
C0175_A0051,Cn1c[n+](C)nc1N=[N+]=[N-].[O-][Cl+3]([O-])([O-])[O-],147
C0175_A0090,Cn1c[n+](C)nc1N=[N+]=[N-].O=[N+]([O-])[O-],129
C0781_A0048,CCCn1c[n+](CCCCC(F)(F)C(F)(F)S(F)(F)(F)(F)F)cn1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,300
C0430_A0051,N[NH+]1C=NC=N1.[O-][Cl+3]([O-])([O-])[O-],235
C0430_A0090,N[NH+]1C=NC=N1.O=[N+]([O-])[O-],149
C0218_A0019,Nn1cn[nH+]c1.O=C([O-])C1([N+](=O)[O-])N=NN=N1,190
C0218_A0035,Nn1cn[nH+]c1.O=C([O-])c1nc([N+](=O)[O-])c([N+](=O)[O-])[nH]1,149
C0218_A0133,Nn1cn[nH+]c1.O=C([O-])[C@@]1([N+](=O)[O-])N=CN=N1,198
C0218_A0051,Nn1cn[nH+]c1.[O-][Cl+3]([O-])([O-])[O-],208
C0218_A0090,Nn1cn[nH+]c1.O=[N+]([O-])[O-],181
C0326_A0051,Cn1cn[n+](N)c1.[O-][Cl+3]([O-])([O-])[O-],253
C0326_A0090,Cn1cn[n+](N)c1.O=[N+]([O-])[O-],217
C0007_A0035,NC1=NC=N[NH+]1N.O=C([O-])c1nc([N+](=O)[O-])c([N+](=O)[O-])[nH]1,165
C0442_A0035,C1=NC=N[NH2+]1.O=C([O-])c1nc([N+](=O)[O-])c([N+](=O)[O-])[nH]1,165
C0058_A0035,C[NH+]1C=NC=N1.O=C([O-])c1nc([N+](=O)[O-])c([N+](=O)[O-])[nH]1,150
C1039_A0004,CCCC[n+]1nn(CC)c2ccccc21.[Br-],175
C1039_A0020,CCCC[n+]1nn(CC)c2ccccc21.F[B-](F)(F)F,316
C1039_A0011,CCCC[n+]1nn(CC)c2ccccc21.F[P-](F)(F)(F)(F)F,345
C0322_A0004,CCCCn1n[n+](CCCC)c2ccccc21.[Br-],170
C0322_A0020,CCCCn1n[n+](CCCC)c2ccccc21.F[B-](F)(F)F,280
C0322_A0011,CCCCn1n[n+](CCCC)c2ccccc21.F[P-](F)(F)(F)(F)F,319
C1003_A0069,Cc1n(C)c(C(F)(F)F)n[n+]1CCCF.[I-],250
