NAMES,SMILES,TEMPERATURE,PRESSURE,VALUE
C0290_A0048,CCCCCCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,353,0.1,1.13
C0290_A0048,CCCCCCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,363,0.1,1.02
C1188_A0048,C[n+]1ccn(CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,293,0.1,3.26
C1188_A0048,C[n+]1ccn(CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,303,0.1,2.92
C1188_A0048,C[n+]1ccn(CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,313,0.1,2.62
C1188_A0048,C[n+]1ccn(CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,323,0.1,2.35
C1188_A0048,C[n+]1ccn(CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,333,0.1,2.14
C1188_A0048,C[n+]1ccn(CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,343,0.1,1.94
C1188_A0048,C[n+]1ccn(CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,353,0.1,1.75
C1188_A0048,C[n+]1ccn(CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,363,0.1,1.6
C0482_A0361,COCCOCCOCCOCC(=O)[O-].C[N+](C)(C)CCO,298,0.1,2.82
C0687_A0361,CC[N+](CC)(CC)CC.COCCOCCOCCOCC(=O)[O-],298,0.1,2.42
C0656_A0361,CCC[N+](CCC)(CCC)CCC.COCCOCCOCCOCC(=O)[O-],298,0.1,2.86
C0297_A0361,CCCC[N+](CCCC)(CCCC)CCCC.COCCOCCOCCOCC(=O)[O-],298,0.1,2.92
