NAMES,SMILES,VALUE
C0393_A0020,CCCCCC[NH+]1C=CN(CCCP(=O)(OCC)OCC)C1.F[B-](F)(F)F,-76
C0393_A0011,CCCCCC[NH+]1C=CN(CCCP(=O)(OCC)OCC)C1.F[P-](F)(F)(F)(F)F,-66
C0226_A0020,CCCCCCCC[NH+]1C=CN(CCP(=O)(OCC)OCC)C1.F[B-](F)(F)F,-80
C0226_A0011,CCCCCCCC[NH+]1C=CN(CCP(=O)(OCC)OCC)C1.F[P-](F)(F)(F)(F)F,-64
C0094_A0020,CCCCCCCC[NH+]1C=CN(CCCP(=O)(OCC)OCC)C1.F[B-](F)(F)F,-65
C0094_A0011,CCCCCCCC[NH+]1C=CN(CCCP(=O)(OCC)OCC)C1.F[P-](F)(F)(F)(F)F,-93
C0257_A0048,C[n+]1ccn(CCC(F)(F)C(F)(F)S(F)(F)(F)(F)F)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,-56
C0742_A0048,C[n+]1ccn(CCCCC(F)(F)C(F)(F)S(F)(F)(F)(F)F)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,-57
C0892_A0048,C[n+]1ccn(CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)S(F)(F)(F)(F)F)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,-50
C0705_A0011,C[n+]1ccn(CCCSC(=S)N(c2ccccc2)c2ccccc2)c1.F[P-](F)(F)(F)(F)F,54
C0668_A0011,C[n+]1ccn(CCCSC(=S)N2CCOCC2)c1.F[P-](F)(F)(F)(F)F,51
C1077_A0011,C[n+]1ccn(CCCSC(=S)n2ccnc2)c1.F[P-](F)(F)(F)(F)F,125
C0435_A0011,Cn1cc[n+](CCCBr)c1.F[P-](F)(F)(F)(F)F,46
C1139_A0033,CCCCn1cc[n+](CC(C)O)c1.[Cl-],137
C0221_A0011,CCCCNC(=O)Cn1cc[n+](C)c1.F[P-](F)(F)(F)(F)F,65
C0878_A0011,CCCCN(C)C(=O)Cn1cc[n+](C)c1.F[P-](F)(F)(F)(F)F,63
C0489_A0004,CCN(CC)C(=O)C[n+]1ccn(C)c1.[Br-],67
C0489_A0048,CCN(CC)C(=O)C[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,44
C0489_A0011,CCN(CC)C(=O)C[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,65
C0733_A0029,C#CCn1cc[n+](C)c1.CC(CC#N)[B-](F)(F)F,-80
C0316_A0020,C=CCn1cc[n+](C)c1.F[B-](F)(F)F,-81
C0316_A0029,C=CCn1cc[n+](C)c1.CC(CC#N)[B-](F)(F)F,-89
C0188_A0029,CC(CC#N)[B-](F)(F)F.C[n+]1ccn(CCCC(=O)O)c1,-59
C0253_A0020,C#CCn1cc[n+](CC#C)c1.F[B-](F)(F)F,67
C0253_A0029,C#CCn1cc[n+](CC#C)c1.CC(CC#N)[B-](F)(F)F,-55
C1026_A0029,C=CCn1cc[n+](CC=C)c1.CC(CC#N)[B-](F)(F)F,-87
